Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
68247,46491,Margret Hassan,F,18.0,160.0,55.0,South Sudan,SSD,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,,0,12230730.0,0.001643444,80.97,56.811,,0,
86476,58765,Santino Kenyi,M,22.0,180.0,75.0,South Sudan,SSD,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres",,0,12230730.0,0.001643444,80.97,56.811,,0,
112056,75001,Guor Marial (-Mading Miaker),M,32.0,180.0,60.0,South Sudan,SSD,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,0,12230730.0,0.001643444,80.97,56.811,,0,
