Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
48033,33094,Logona Esau,M,21.0,163.0,69.0,Tuvalu,TUV,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Lightweight,,0,10340.0,1.53e-06,47.235,,30290219.76,2929.42164,4.77e-07
99342,66655,Tuau Lapua Lapua,M,21.0,140.0,62.0,Tuvalu,TUV,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Featherweight,,0,10725.0,1.51e-06,43.185,,39875750.67,3718.01871,5.32e-07
111384,74540,Asenate Manoa,F,16.0,,46.0,Tuvalu,TUV,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,10340.0,1.53e-06,47.235,,30290219.76,2929.42164,4.77e-07
111385,74540,Asenate Manoa,F,20.0,,46.0,Tuvalu,TUV,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,10725.0,1.51e-06,43.185,,39875750.67,3718.01871,5.32e-07
129714,86663,Tavevele Noa,M,20.0,176.0,74.0,Tuvalu,TUV,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,10725.0,1.51e-06,43.185,,39875750.67,3718.01871,5.32e-07
180661,120422,Etimoni Timuani,M,24.0,184.0,72.0,Tuvalu,TUV,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,11097.0,1.49e-06,39.38,,34218878.44,3083.615251,4.51e-07
180681,120439,Okilani Tinilau,M,19.0,,,Tuvalu,TUV,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,10340.0,1.53e-06,47.235,,30290219.76,2929.42164,4.77e-07
