Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
59639,40647,Nora Gjakova,F,23.0,165.0,57.0,Kosovo,XKX,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Lightweight,,0,1816200.0,0.000244043,,71.64634146,6649888889.0,3661.429847,8.77e-05
64627,44006,Qendrim Guri,M,22.0,175.0,70.0,Kosovo,XKX,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Road Race, Individual",,0,1816200.0,0.000244043,,71.64634146,6649888889.0,3661.429847,8.77e-05
65849,44851,Musa Hajdari,M,28.0,187.0,74.0,Kosovo,XKX,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 800 metres,,0,1816200.0,0.000244043,,71.64634146,6649888889.0,3661.429847,8.77e-05
86226,58601,Majlinda Kelmendi,F,25.0,162.0,52.0,Kosovo,XKX,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,Gold,0,1816200.0,0.000244043,,71.64634146,6649888889.0,3661.429847,8.77e-05
95888,64422,Vijona Kryeziu,F,18.0,167.0,51.0,Kosovo,XKX,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,,0,1816200.0,0.000244043,,71.64634146,6649888889.0,3661.429847,8.77e-05
147719,98556,Urata Rama,F,29.0,173.0,64.0,Kosovo,XKX,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",,0,1816200.0,0.000244043,,71.64634146,6649888889.0,3661.429847,8.77e-05
201819,134359,Rita Zeqiri,F,20.0,165.0,55.0,Kosovo,XKX,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,,0,1816200.0,0.000244043,,71.64634146,6649888889.0,3661.429847,8.77e-05
202424,134699,Lum Zhaveli,M,26.0,194.0,88.0,Kosovo,XKX,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,,0,1816200.0,0.000244043,,71.64634146,6649888889.0,3661.429847,8.77e-05
