Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
4758,3302,Aguida Fatima Amaral,F,32.0,148.0,43.0,Timor Leste,TLS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,,0,996698.0,0.000154855,74.29,63.209,442875783.7,444.3430043,1.01e-05
25006,17160,Francelina Cabral,F,31.0,165.0,,Timor Leste,TLS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Mountainbike, Cross-Country",,0,1268671.0,0.000170471,66.599,68.881,1782974000.0,1405.387212,2.35e-05
35896,24648,Gil da Cruz Trinidade,M,22.0,174.0,,Timor Leste,TLS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,,0,996698.0,0.000154855,74.29,63.209,442875783.7,444.3430043,1.01e-05
60733,41378,Yohann Gonalves Goutt Gonalves,M,19.0,181.0,78.0,Timor Leste,TLS,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Slalom,,0,1212814.0,0.000166848,67.869,68.285,1450600000.0,1196.061391,1.84e-05
113394,75905,Nelia Martins,F,18.0,150.0,,Timor Leste,TLS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 1,500 metres",,0,1268671.0,0.000170471,66.599,68.881,1782974000.0,1405.387212,2.35e-05
126375,84504,Juventina Napoleao,F,23.0,154.0,48.0,Timor Leste,TLS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Marathon,,0,1156760.0,0.000162984,69.168,67.805,1188900000.0,1027.784502,1.59e-05
168749,112611,Augusto Ramos Soares,M,25.0,165.0,58.0,Timor Leste,TLS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Marathon,,0,1156760.0,0.000162984,69.168,67.805,1188900000.0,1027.784502,1.59e-05
168750,112611,Augusto Ramos Soares,M,29.0,165.0,58.0,Timor Leste,TLS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres",,0,1268671.0,0.000170471,66.599,68.881,1782974000.0,1405.387212,2.35e-05
197822,132030,Mariana Dias Ximenes,F,24.0,151.0,48.0,Timor Leste,TLS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Marathon,,0,1078110.0,0.000159395,71.797,66.472,659561789.4,611.7759685,1.04e-05
