Country,NOC
South Vietnam ~VNM,VNM
Vietnam ~VNM,VNM
Cambodia ~KHM,KHM
Bhutan ~BTN,BTN
Marshall Islands ~MHL,MHL
Kiribati ~KIR,KIR
Tuvalu ~TUV,TUV
Tonga ~TON,TON
Kosovo ~XKX,XKX
South Sudan ~SSD,SSD
Lesotho ~LSO,LSO
